timestamp,documents_processed,chunks_created,avg_chunk_size,overlap_tokens,processing_time_ms,chunk_quality_score
2024-06-29T10:00:00Z,12,45,1024,200,89.3,0.92
2024-06-29T10:00:30Z,14,52,1087,200,103.7,0.89
2024-06-29T10:01:00Z,10,38,965,200,76.8,0.94
2024-06-29T10:01:30Z,13,49,1156,200,98.2,0.91
2024-06-29T10:02:00Z,11,41,1034,200,82.5,0.93
2024-06-29T10:02:30Z,15,55,1203,200,112.4,0.88
2024-06-29T10:03:00Z,12,43,1098,200,87.6,0.90
2024-06-29T10:03:30Z,13,47,1134,200,94.1,0.92
2024-06-29T10:04:00Z,14,50,1178,200,101.3,0.89
2024-06-29T10:04:30Z,10,39,987,200,79.2,0.95
